Johann,johann@gmail.com,20,12,34,45,12,90,88
Peeter,peeter@rambler.ru,54,67,34,54,67,98,12
Katrin,katrin@katrin.cz,56,32,87,67,45,90,31
Maaria,maaria@eesti.ee,78,56,39,06,34,71,35
Kalevipoeg,kalevipoeg@eesti.ee,67,87,34,56,76,87,23
Sauron,sauron@dolguldur.mo,86,34,12,65,34,87,23
JHVH,jhvh@aketer.sf,100,100,100,100,100,100,100
Shepard,shepard@normandy.al,76,86,45,34,88,98,77
JackSparrow,captain@jacksparrow.bp,76,34,34,76,88,100,1
Judas,judas@gethesemane.is,77,56,44,88,77,98,77
Severus,50pointsto@slytherin,uk,90,98,96,91,99,95,100
Arhimedes,arhimedes@bath.eurica,56,75,34,88,77,66,76
EndOfFile,error@savemy.pc,1,2,1,3,4,5,1
